product,url,price,num_sold
Meiji Hello Panda Chocolate Biscuits,//www.lazada.sg/products/meiji-hello-panda-chocolate-biscuits-i301144814-s527204964.html?search=1,$5.80,(214)
Oreo Vanilla Wafer Roll,//www.lazada.sg/products/oreo-vanilla-wafer-roll-i304030861-s538162804.html?search=1,$1.30,(85)
MILO Biscuit Sandwich Cookie - 12 Piece,//www.lazada.sg/products/milo-biscuit-sandwich-cookie-12-piece-i303612614-s537292030.html?search=1,$5.50,(110)
Milo Biscuit Sandwich With Milk,//www.lazada.sg/products/milo-biscuit-sandwich-with-milk-i344824590-s781934026.html?search=1,$5.50,(50)
Mulino Bianco Baiocchi - Hazelnut And Coco Cookie Cookies,//www.lazada.sg/products/mulino-bianco-baiocchi-hazelnut-and-coco-cookie-cookies-i303258741-s536584332.html?search=1,$3.30,(42)
LU Prince Chocolate Whole Wheat Biscuits,//www.lazada.sg/products/lu-prince-chocolate-whole-wheat-biscuits-i301180114-s527246521.html?search=1,$5.90,(27)
LU Petit Ecolier - Milk Chocolate French Biscuits,//www.lazada.sg/products/lu-petit-ecolier-milk-chocolate-french-biscuits-i301154848-s527222872.html?search=1,$4.60,(28)
Cadbury Fingers Milk Chocolate Biscuits,//www.lazada.sg/products/cadbury-fingers-milk-chocolate-biscuits-i301148951-s527246213.html?search=1,$5.90,(12)
Oreo Chocolate Wafer Roll,//www.lazada.sg/products/oreo-chocolate-wafer-roll-i304040533-s538182256.html?search=1,$1.30,(73)
Meiji Hello Panda Double Chocolate Biscuits,//www.lazada.sg/products/meiji-hello-panda-double-chocolate-biscuits-i301154754-s527222670.html?search=1,$5.55,(55)
Voortman Sugar Free Chocolate Chip - By Wholesome Harvest,//www.lazada.sg/products/voortman-sugar-free-chocolate-chip-by-wholesome-harvest-i303128774-s536382985.html?search=1,$4.80,(16)
Lotte Almond Pepero Biscuit Sticks,//www.lazada.sg/products/lotte-almond-pepero-biscuit-sticks-i301130450-s527192474.html?search=1,$1.30,(146)
Glico Pocky Choco (Family Size),//www.lazada.sg/products/glico-pocky-choco-family-size-i304318903-s538548567.html?search=1,$4.80,(31)
Bahlsen Choco Leibniz,//www.lazada.sg/products/bahlsen-choco-leibniz-i303752404-s537456109.html?search=1,$1.80,(3)
Glico Pocky Strawberry Value Pack 8's,//www.lazada.sg/products/glico-pocky-strawberry-value-pack-8s-i516334454-s1441942430.html?search=1,$4.80,(76)
Glico Pocky Chococlate Value Pack 8's,//www.lazada.sg/products/glico-pocky-chococlate-value-pack-8s-i516344188-s1441966322.html?search=1,$4.80,(53)
LU Prince Fully Chocolate Whole Wheat Biscuits,//www.lazada.sg/products/lu-prince-fully-chocolate-whole-wheat-biscuits-i301170114-s527260327.html?search=1,$5.90,(10)
Meiji Hello Panda Milk Biscuits,//www.lazada.sg/products/meiji-hello-panda-milk-biscuits-i301142804-s527234378.html?search=1,$5.55,(74)
Lotte Nude Pepero Stick Biscuits,//www.lazada.sg/products/lotte-nude-pepero-stick-biscuits-i301122977-s527252089.html?search=1,$1.30,(27)
Orion Original Choco Pie,//www.lazada.sg/products/orion-original-choco-pie-i481254665-s1313250623.html?search=1,$6.90,(13)
Amazin' Graze Chocolate Peanut Butter Fudge Bites,//www.lazada.sg/products/amazin-graze-chocolate-peanut-butter-fudge-bites-i304204928-s538418625.html?search=1,$6.90,(2)
LU Pepito Mini Rolled Chocolate Biscuits,//www.lazada.sg/products/lu-pepito-mini-rolled-chocolate-biscuits-i303626113-s537264315.html?search=1,$3.50,(16)
Bahlsen Leibniz Mini Wholemeal Biscuit,//www.lazada.sg/products/bahlsen-leibniz-mini-wholemeal-biscuit-i545322321-s1541272310.html?search=1,$1.95,(9)
Glico Pocky Straw (Family Size),//www.lazada.sg/products/glico-pocky-straw-family-size-i304352005-s538530909.html?search=1,$4.80,(21)
Orion Banana Choco Pie,//www.lazada.sg/products/orion-banana-choco-pie-i481268322-s1313262756.html?search=1,$6.90,(14)
LU L'Ourson Teddybear Shape Chocolate Biscuits,//www.lazada.sg/products/lu-lourson-teddybear-shape-chocolate-biscuits-i301168118-s527252364.html?search=1,$6.90,(13)
Sainsbury's Free From Chocolate Digestives,//www.lazada.sg/products/sainsburys-free-from-chocolate-digestives-i303966130-s538036680.html?search=1,$4.00,(33)
Lee Chocolate Chips Biscuits Fun Pack,//www.lazada.sg/products/lee-chocolate-chips-biscuits-fun-pack-i308500247-s558154271.html?search=1,$1.00,(5)
Voortman Sugar Free Fudge Choc Chip - By Wholesome Harvest,//www.lazada.sg/products/voortman-sugar-free-fudge-choc-chip-by-wholesome-harvest-i303114933-s536420075.html?search=1,$4.80,(16)
Lee Chocolate Chips Biscuits with Blackcurrant Fun Pack,//www.lazada.sg/products/lee-chocolate-chips-biscuits-with-blackcurrant-fun-pack-i308532012-s558122779.html?search=1,$1.00,(3)
Voortman Sugar Free Pecan Chocolate Chip - By Wholesome Harvest,//www.lazada.sg/products/voortman-sugar-free-pecan-chocolate-chip-by-wholesome-harvest-i303126820-s536408381.html?search=1,$4.80,(7)
Lee Chocolate Chips with Blackcurrant Biscuits,//www.lazada.sg/products/lee-chocolate-chips-with-blackcurrant-biscuits-i301174395-s527280223.html?search=1,$2.35,(6)
Lee Chocolate Moo Moo,//www.lazada.sg/products/lee-chocolate-moo-moo-i303024149-s536328234.html?search=1,$2.35,(3)
Lotte Chocopie Pie,//www.lazada.sg/products/lotte-chocopie-pie-i301122978-s527252090.html?search=1,$2.35,(72)
Loacker Quadratini Matcha Green Tea Chocolate Biscuits,//www.lazada.sg/products/loacker-quadratini-matcha-green-tea-chocolate-biscuits-i346340899-s791700839.html?search=1,$4.95,(13)
Pocky Premium Chocolate Party Pack Biscuit Stick,//www.lazada.sg/products/pocky-premium-chocolate-party-pack-biscuit-stick-i303616368-s537262498.html?search=1,$5.20,(47)
